omega,S_connected_symmetrized
-4.521102989998875898e+01,0.000000000000000000e+00
-4.518356268862789449e+01,0.000000000000000000e+00
-4.515609547726702999e+01,0.000000000000000000e+00
-4.512862826590615839e+01,0.000000000000000000e+00
-4.510116105454528679e+01,0.000000000000000000e+00
-4.507369384318442229e+01,0.000000000000000000e+00
-4.504622663182355780e+01,0.000000000000000000e+00
-4.501875942046268619e+01,0.000000000000000000e+00
-4.499129220910181459e+01,0.000000000000000000e+00
-4.496382499774095010e+01,0.000000000000000000e+00
-4.493635778638008560e+01,0.000000000000000000e+00
-4.490889057501921400e+01,0.000000000000000000e+00
-4.488142336365834240e+01,0.000000000000000000e+00
-4.485395615229747790e+01,0.000000000000000000e+00
-4.482648894093661340e+01,0.000000000000000000e+00
-4.479902172957574180e+01,0.000000000000000000e+00
-4.477155451821487020e+01,0.000000000000000000e+00
-4.474408730685400570e+01,0.000000000000000000e+00
-4.471662009549314121e+01,0.000000000000000000e+00
-4.468915288413226961e+01,0.000000000000000000e+00
-4.466168567277139800e+01,0.000000000000000000e+00
-4.463421846141053351e+01,0.000000000000000000e+00
-4.460675125004966901e+01,0.000000000000000000e+00
-4.457928403868879741e+01,0.000000000000000000e+00
-4.455181682732792581e+01,0.000000000000000000e+00
-4.452434961596706131e+01,0.000000000000000000e+00
-4.449688240460619681e+01,0.000000000000000000e+00
-4.446941519324532521e+01,0.000000000000000000e+00
-4.444194798188445361e+01,0.000000000000000000e+00
-4.441448077052358911e+01,0.000000000000000000e+00
-4.438701355916272462e+01,0.000000000000000000e+00
-4.435954634780185302e+01,0.000000000000000000e+00
-4.433207913644098142e+01,0.000000000000000000e+00
-4.430461192508011692e+01,0.000000000000000000e+00
-4.427714471371925242e+01,0.000000000000000000e+00
-4.424967750235838082e+01,0.000000000000000000e+00
-4.422221029099750922e+01,0.000000000000000000e+00
-4.419474307963664472e+01,0.000000000000000000e+00
-4.416727586827578023e+01,0.000000000000000000e+00
-4.413980865691490862e+01,0.000000000000000000e+00
-4.411234144555403702e+01,0.000000000000000000e+00
-4.408487423419317253e+01,0.000000000000000000e+00
-4.405740702283230803e+01,0.000000000000000000e+00
-4.402993981147143643e+01,0.000000000000000000e+00
-4.400247260011056483e+01,0.000000000000000000e+00
-4.397500538874970033e+01,0.000000000000000000e+00
-4.394753817738883583e+01,0.000000000000000000e+00
-4.392007096602796423e+01,0.000000000000000000e+00
-4.389260375466709263e+01,0.000000000000000000e+00
-4.386513654330622813e+01,0.000000000000000000e+00
-4.383766933194536364e+01,0.000000000000000000e+00
-4.381020212058449204e+01,0.000000000000000000e+00
-4.378273490922362043e+01,0.000000000000000000e+00
-4.375526769786275594e+01,0.000000000000000000e+00
-4.372780048650189144e+01,0.000000000000000000e+00
-4.370033327514101984e+01,0.000000000000000000e+00
-4.367286606378014824e+01,0.000000000000000000e+00
-4.364539885241928374e+01,0.000000000000000000e+00
-4.361793164105841925e+01,0.000000000000000000e+00
-4.359046442969754764e+01,0.000000000000000000e+00
-4.356299721833667604e+01,0.000000000000000000e+00
-4.353553000697581155e+01,0.000000000000000000e+00
-4.350806279561494705e+01,0.000000000000000000e+00
-4.348059558425407545e+01,0.000000000000000000e+00
-4.345312837289321095e+01,0.000000000000000000e+00
-4.342566116153233935e+01,0.000000000000000000e+00
-4.339819395017147485e+01,0.000000000000000000e+00
-4.337072673881060325e+01,0.000000000000000000e+00
-4.334325952744973875e+01,0.000000000000000000e+00
-4.331579231608886715e+01,0.000000000000000000e+00
-4.328832510472800266e+01,0.000000000000000000e+00
-4.326085789336713106e+01,0.000000000000000000e+00
-4.323339068200626656e+01,0.000000000000000000e+00
-4.320592347064539496e+01,0.000000000000000000e+00
-4.317845625928453046e+01,0.000000000000000000e+00
-4.315098904792365886e+01,0.000000000000000000e+00
-4.312352183656279436e+01,0.000000000000000000e+00
-4.309605462520192276e+01,0.000000000000000000e+00
-4.306858741384105826e+01,0.000000000000000000e+00
-4.304112020248018666e+01,0.000000000000000000e+00
-4.301365299111932217e+01,0.000000000000000000e+00
-4.298618577975845056e+01,0.000000000000000000e+00
-4.295871856839758607e+01,0.000000000000000000e+00
-4.293125135703671447e+01,0.000000000000000000e+00
-4.290378414567584997e+01,0.000000000000000000e+00
